Key,Japanese,English,Chinese,
Favorite,お気に入り,Favorite,收藏夹,
Belongings,持っている,Belongings,有,
Favorites list,お気に入りリスト,Favorites list,收藏列表,
Belongings list,持っているリスト,Belongings list,列出你有,
Store selection,ストア選択,Store selection,店铺选择,
Notice,お知らせ,Notice,注意事项,
Push notification settings,Push通知設定,Push notification settings,推送通知设置,
About this app,アプリについて,About this app,关于应用程序,
Privacy policy,プライバシーポリシー,Privacy policy,私隐政策,
Terms of service,利用規約,Terms of service,使用条款,
Color,カラー,Color,色,
Series,シリーズ,Series,系列,
SaleDone,販売終了,Sale Done,销售结束,
SaleDoneAlert,販売終了しているアイテムをお気に入りから外すと、再びリストに追加することはできません。お気に入りリストから削除しますか？,"If you remove a discontinued item from your favorites, you cannot add it to the list again. Do you want to remove it from your favorites list?",如果您从收藏夹中删除了停产的商品，则无法将其再次添加到列表中。 您要从收藏夹列表中删除它吗？,
Cancel,キャンセル,Cancel,取消,
DeleteFav,お気に入り削除,Delete favorite,删除收藏夹,
NoNailToChoose,選択できるネイルがありません,There are no nails to choose,没有钉子可供选择,
NoNailInList,登録がありません,No registration,没有注册,
DialogErrorTitle,エラー,Error,错误,
ColorSelectError1,試着中のネイルが含まれているため解除出来ません,It cannot be released because the nails being tried on are included.,由于已包括要尝试的指甲，因此无法释放。,
ColorSelectError2,解除出来ません。一つ以上のシリーズを選択して下さい。,It cannot be canceled. Please select one or more series.,无法取消。 请选择一个或多个系列。,
AfterSaving: Done,保存済み,Saved,已保存,
AfterSaving: Back,編集に戻る,Return to edit,返回编辑,
AfterSaving: New,新しく始める,Start anew,重新开始,
AfterSaving: Share,シェア,share,分享,
ShootModeDesc: Free,自由に撮影してください,Please shoot with your hand par,请用手拍,
ShootModeDesc: HandPaa,手をパーにして撮影してください,Please shoot with your hand par,请用手拍,
ShootModeDesc: HandGoo,手をグーにして撮影してください,Please shoot with your hand goo,请用手拍,
ShootModeDesc: Foot,足を撮影してください,Please shoot the foot,请拍脚,
ShootModeIcon: Free,フリー,Free,自由,
ShootModeIcon: HandPaa,パー,Par,面值,
ShootModeIcon: HandGoo,グー,Goo,拳头,
ShootModeIcon: Foot,足,Foot,腿,
AdjustBrightness: Desc,写真の明るさを調整してください,Adjust the brightness of the photo,调整照片的亮度,
AdjustBrightness: Decide,決定,Decision,决断,
FreeModeAlert: Title,フリーモードで撮影すると認識の精度が下がることがあります。,The accuracy of recognition may decrease when shooting in free mode.,在自由模式下拍摄时，识别精度可能会降低。,
FreeModeAlert: Off,次回から表示しない,Don't show again,不再显示,
OK,OK,OK,OK,
